"season_year","season_url"
2009-01-01,"http://en.wikipedia.org/wiki/2009_Formula_One_season"
2008-01-01,"http://en.wikipedia.org/wiki/2008_Formula_One_season"
2007-01-01,"http://en.wikipedia.org/wiki/2007_Formula_One_season"
2006-01-01,"http://en.wikipedia.org/wiki/2006_Formula_One_season"
2005-01-01,"http://en.wikipedia.org/wiki/2005_Formula_One_season"
2004-01-01,"http://en.wikipedia.org/wiki/2004_Formula_One_season"
2003-01-01,"http://en.wikipedia.org/wiki/2003_Formula_One_season"
2002-01-01,"http://en.wikipedia.org/wiki/2002_Formula_One_season"
2001-01-01,"http://en.wikipedia.org/wiki/2001_Formula_One_season"
2000-01-01,"http://en.wikipedia.org/wiki/2000_Formula_One_season"
1999-01-01,"http://en.wikipedia.org/wiki/1999_Formula_One_season"
1998-01-01,"http://en.wikipedia.org/wiki/1998_Formula_One_season"
1997-01-01,"http://en.wikipedia.org/wiki/1997_Formula_One_season"
1996-01-01,"http://en.wikipedia.org/wiki/1996_Formula_One_season"
1995-01-01,"http://en.wikipedia.org/wiki/1995_Formula_One_season"
1994-01-01,"http://en.wikipedia.org/wiki/1994_Formula_One_season"
1993-01-01,"http://en.wikipedia.org/wiki/1993_Formula_One_season"
1992-01-01,"http://en.wikipedia.org/wiki/1992_Formula_One_season"
1991-01-01,"http://en.wikipedia.org/wiki/1991_Formula_One_season"
1990-01-01,"http://en.wikipedia.org/wiki/1990_Formula_One_season"
2010-01-01,"http://en.wikipedia.org/wiki/2010_Formula_One_season"
1989-01-01,"http://en.wikipedia.org/wiki/1989_Formula_One_season"
1988-01-01,"http://en.wikipedia.org/wiki/1988_Formula_One_season"
1987-01-01,"http://en.wikipedia.org/wiki/1987_Formula_One_season"
1986-01-01,"http://en.wikipedia.org/wiki/1986_Formula_One_season"
1985-01-01,"http://en.wikipedia.org/wiki/1985_Formula_One_season"
1984-01-01,"http://en.wikipedia.org/wiki/1984_Formula_One_season"
1983-01-01,"http://en.wikipedia.org/wiki/1983_Formula_One_season"
1982-01-01,"http://en.wikipedia.org/wiki/1982_Formula_One_season"
1981-01-01,"http://en.wikipedia.org/wiki/1981_Formula_One_season"
1980-01-01,"http://en.wikipedia.org/wiki/1980_Formula_One_season"
1979-01-01,"http://en.wikipedia.org/wiki/1979_Formula_One_season"
1978-01-01,"http://en.wikipedia.org/wiki/1978_Formula_One_season"
1977-01-01,"http://en.wikipedia.org/wiki/1977_Formula_One_season"
1976-01-01,"http://en.wikipedia.org/wiki/1976_Formula_One_season"
1975-01-01,"http://en.wikipedia.org/wiki/1975_Formula_One_season"
1974-01-01,"http://en.wikipedia.org/wiki/1974_Formula_One_season"
1973-01-01,"http://en.wikipedia.org/wiki/1973_Formula_One_season"
1972-01-01,"http://en.wikipedia.org/wiki/1972_Formula_One_season"
1971-01-01,"http://en.wikipedia.org/wiki/1971_Formula_One_season"
1970-01-01,"http://en.wikipedia.org/wiki/1970_Formula_One_season"
1969-01-01,"http://en.wikipedia.org/wiki/1969_Formula_One_season"
1968-01-01,"http://en.wikipedia.org/wiki/1968_Formula_One_season"
1967-01-01,"http://en.wikipedia.org/wiki/1967_Formula_One_season"
1966-01-01,"http://en.wikipedia.org/wiki/1966_Formula_One_season"
1965-01-01,"http://en.wikipedia.org/wiki/1965_Formula_One_season"
1964-01-01,"http://en.wikipedia.org/wiki/1964_Formula_One_season"
1963-01-01,"http://en.wikipedia.org/wiki/1963_Formula_One_season"
1962-01-01,"http://en.wikipedia.org/wiki/1962_Formula_One_season"
1961-01-01,"http://en.wikipedia.org/wiki/1961_Formula_One_season"
1960-01-01,"http://en.wikipedia.org/wiki/1960_Formula_One_season"
1959-01-01,"http://en.wikipedia.org/wiki/1959_Formula_One_season"
1958-01-01,"http://en.wikipedia.org/wiki/1958_Formula_One_season"
1957-01-01,"http://en.wikipedia.org/wiki/1957_Formula_One_season"
1956-01-01,"http://en.wikipedia.org/wiki/1956_Formula_One_season"
1955-01-01,"http://en.wikipedia.org/wiki/1955_Formula_One_season"
1954-01-01,"http://en.wikipedia.org/wiki/1954_Formula_One_season"
1953-01-01,"http://en.wikipedia.org/wiki/1953_Formula_One_season"
1952-01-01,"http://en.wikipedia.org/wiki/1952_Formula_One_season"
1951-01-01,"http://en.wikipedia.org/wiki/1951_Formula_One_season"
1950-01-01,"http://en.wikipedia.org/wiki/1950_Formula_One_season"
2011-01-01,"http://en.wikipedia.org/wiki/2011_Formula_One_season"
2012-01-01,"http://en.wikipedia.org/wiki/2012_Formula_One_season"
2013-01-01,"http://en.wikipedia.org/wiki/2013_Formula_One_season"
2014-01-01,"http://en.wikipedia.org/wiki/2014_Formula_One_season"
2015-01-01,"http://en.wikipedia.org/wiki/2015_Formula_One_season"
2016-01-01,"https://en.wikipedia.org/wiki/2016_Formula_One_season"
2017-01-01,"https://en.wikipedia.org/wiki/2017_Formula_One_season"
2018-01-01,"http://en.wikipedia.org/wiki/2018_FIA_Formula_One_World_Championship"
